date, time, visibility, d-bulb_F, w-bulb_F, dew_point_F, rel_humidity, wind_speed, wind_dir, station_pressure, altimeter
2010-09-01,3180.0, 10.00, 56, 55, 54, 93, 15, 190, 29.64, 29.98
2010-09-01,4080.0, 10.00, 55, 54, 54, 96, 16, 190, 29.64, 29.98
2010-09-01,6660.0, 10.00, 55, 54, 54, 96, 16, 190, 29.63, 29.97
2010-09-01,6780.0, 10.00, 56, 55, 54, 93, 17, 190, 29.63, 29.97
2010-09-01,8700.0, 10.00, 55, 54, 54, 96, 9, 180, 29.64, 29.98
2010-09-01,9720.0, 10.00, 55, 54, 54, 96, 9, 180, 29.65, 29.99
2010-09-01,10380.0, 10.00, 56, 55, 54, 93, 10, 190, 29.65, 29.99
2010-09-01,10800.0, 10.00, 55, 54, 54, 96, 9, 190, 29.65, 29.99
2010-09-01,13980.0, 10.00, 56, 55, 54, 93, 6, 200, 29.66, 30.00
2010-09-01,17460.0, 10.00, 55, 55, 55, 100, 0, 000, 29.67, 30.01
2010-09-01,17580.0, 10.00, 57, 55, 54, 90, 0, 000, 29.67, 30.01
2010-09-01,19260.0, 10.00, 55, 54, 54, 96, 3, 210, 29.68, 30.02
2010-09-01,19680.0, 10.00, 55, 54, 54, 96, 5, 200, 29.68, 30.02
2010-09-01,21060.0, 10.00, 55, 54, 54, 96, 5, 200, 29.69, 30.03
2010-09-01,21180.0, 10.00, 56, 55, 54, 93, 6, 210, 29.69, 30.03
2010-09-01,21600.0, 10.00, 55, 54, 54, 96, 5, 220, 29.69, 30.03
2010-09-01,23820.0, 10.00, 57, 56, 55, 93, 0, 000, 29.71, 30.05
2010-09-01,24780.0, 10.00, 57, 56, 55, 93, 3, 280, 29.71, 30.05
2010-09-01,28380.0, 10.00, 57, 55, 54, 90, 0, 000, 29.73, 30.07
2010-09-01,31980.0, 10.00, 59, 56, 53, 81, 0, 000, 29.74, 30.08
2010-09-01,35580.0, 10.00, 59, 56, 53, 81, 0, 000, 29.77, 30.11
2010-09-01,39180.0, 10.00, 61, 57, 53, 75, 0, 000, 29.79, 30.13
2010-09-01,39600.0, 10.00, 61, 57, 54, 78, 0, 000, 29.79, 30.13
2010-09-01,42780.0, 10.00, 64, 58, 53, 68, 0, 000, 29.80, 30.14
2010-09-01,46380.0, 10.00, 67, 59, 53, 61, 0, 000, 29.81, 30.15
2010-09-01,46800.0, 10.00, 64, 57, 52, 65, 0, 000, 29.81, 30.15
2010-09-01,53580.0, 10.00, 67, 59, 52, 59, 7, 180, 29.83, 30.17
2010-09-01,60780.0, 10.00, 67, 59, 52, 59, 3, 200, 29.83, 30.17
