Hourly Obs

Month/Year: 02/2011
Station Location: TACOMA NARROWS AIRPORT (94274)
Lat: 47.267
Lon: -122.576
Elev: 292 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
94274,20110201,0053,12,CLR, ,10.00, , , ,33, ,0.6, ,30, ,-1.0, ,25, ,-3.9, , 72, , 3, ,010, , , ,30.19, ,1, ,011, ,30.55, ,AA, , , ,30.54, 
94274,20110201,0153,12,CLR, ,10.00, , , ,35, ,1.7, ,30, ,-0.8, ,22, ,-5.6, , 59, , 7, ,020, , , ,30.21, , , , , ,30.56, ,AA, , , ,30.55, 
94274,20110201,0253,12,CLR, ,10.00, , , ,34, ,1.1, ,30, ,-1.2, ,22, ,-5.6, , 62, , 5, ,020, , , ,30.22, , , , , ,30.57, ,AA, , , ,30.56, 
94274,20110201,0353,12,CLR, ,10.00, , , ,34, ,1.1, ,29, ,-1.3, ,21, ,-6.1, , 59, , 0, ,000, , , ,30.22, ,0, ,006, ,30.57, ,AA, , , ,30.56, 
94274,20110201,0453,12,FEW080, ,10.00, , , ,34, ,1.1, ,28, ,-2.0, ,17, ,-8.3, , 50, , 5, ,050, , , ,30.22, , , , , ,30.57, ,AA, , , ,30.56, 
94274,20110201,0553,12,CLR, ,10.00, , , ,34, ,1.1, ,29, ,-1.5, ,20, ,-6.7, , 57, , 5, ,040, , , ,30.22, , , , , ,30.58, ,AA, , , ,30.56, 
94274,20110201,0653,12,CLR, ,10.00, , , ,34, ,1.1, ,29, ,-1.8, ,18, ,-7.8, , 52, , 6, ,050, , , ,30.22, ,3, ,004, ,30.58, ,AA, , , ,30.57, 
94274,20110201,0753,12,CLR, ,10.00, , , ,34, ,1.1, ,28, ,-2.2, ,15, ,-9.4, , 46, , 6, ,040, , , ,30.24, , , , , ,30.59, ,AA, , , ,30.58, 
94274,20110201,0853,12,CLR, ,10.00, , , ,36, ,2.2, ,29, ,-1.7, ,14, ,-10.0, , 40, , 5, ,030, , , ,30.24, , , , , ,30.60, ,AA, , , ,30.59, 
94274,20110201,0953,12,CLR, ,10.00, , , ,37, ,2.8, ,30, ,-1.2, ,15, ,-9.4, , 41, , 5, ,VR , , , ,30.24, ,1, ,007, ,30.60, ,AA, , , ,30.59, 
